대학코드,국가,대학명,파견구분,협정형태,NUM_VISITS,BERT_SUM,RNN_SUM,BERT_AVG,RNN_AVG,BERT_PLUS_RNN_SCORE,COLLEGE_LINK
AF000001,AFGHANISTAN,Kabul University,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AF000001&bgbn=A
AR000001,ARGENTINA,Universidad Blas Pascal,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AR000001&bgbn=A
AR000002,ARGENTINA,Universidad Catolica de Cordoba,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AR000002&bgbn=A
AR000003,ARGENTINA,Universidad de Palermo,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AR000003&bgbn=A
AR000004,ARGENTINA,Universidad del Salvador,교환학생,ISEP,1.0,0.0,0.3996699154376984,0.0,0.3996699154376984,0.11990097463130953,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AR000004&bgbn=A
AR000005,ARGENTINA,University of Buenos Aires,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AR000005&bgbn=A
AU000019,AUSTRALIA,Australian National University,교환학생,교환대학,27.0,17.0,17.952731549739838,0.6296296296296297,0.6649159833236977,0.6402155357378501,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000019&bgbn=A
AU000001,AUSTRALIA,Bond University,교환학생,교환대학,19.0,16.0,13.359808802604675,0.8421052631578947,0.7031478317160356,0.8004180337253369,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000001&bgbn=A
AU000002,AUSTRALIA,Curtin University,교환학생,교환대학ISEP,7.0,5.0,4.65778660774231,0.7142857142857143,0.66539808682033,0.699619426046099,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000002&bgbn=A
AU000003,AUSTRALIA,Curtin University of Technology,교환학생,,16.0,14.0,9.696669936180115,0.875,0.6060418710112572,0.794312561303377,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000003&bgbn=A
AU000004,AUSTRALIA,Deakin University,교환학생,교환대학ISEPUSAC,24.0,18.0,17.425120294094086,0.75,0.7260466789205869,0.742814003676176,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000004&bgbn=A
AU000021,AUSTRALIA,Griffith University,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000021&bgbn=A
AU000005,AUSTRALIA,La Trobe University,교환학생,교환대학ISEP,22.0,14.0,13.872904598712921,0.6363636363636364,0.6305865726687692,0.6346305172551762,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000005&bgbn=A
AU000006,AUSTRALIA,Macquarie University,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000006&bgbn=A
AU000007,AUSTRALIA,Monash University,교환학생,교환대학,42.0,27.0,28.953686773777008,0.6428571428571429,0.6893734946137383,0.6568120483841215,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000007&bgbn=A
AU000008,AUSTRALIA,Murdoch University,교환학생,교환대학,9.0,7.0,6.646777451038361,0.7777777777777778,0.7385308278931512,0.7660036928123898,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000008&bgbn=A
AU000009,AUSTRALIA,RMIT University,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000009&bgbn=A
AU000010,AUSTRALIA,Swinburne University of Technology,교환학생,,4.0,3.0,2.875095844268799,0.75,0.7187739610671997,0.7406321883201599,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000010&bgbn=A
AU000020,AUSTRALIA,University of Adelaide,교환학생,교환대학,10.0,5.0,6.72594627737999,0.5,0.6725946277379989,0.5517783883213997,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000020&bgbn=A
AU000011,AUSTRALIA,University of Canberra,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000011&bgbn=A
AU000012,AUSTRALIA,University of New South Wales,교환학생,교환대학,44.0,35.0,26.908133655786514,0.7954545454545454,0.6115484921769663,0.7402827294712716,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000012&bgbn=A
AU000013,AUSTRALIA,University of Queensland,교환학생방문학생SAP(정규),교환대학SAF,61.0,48.0,40.56454849243164,0.7868852459016393,0.6649925982365843,0.7503174516021227,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000013&bgbn=A
AU000014,AUSTRALIA,University of Southern Queensland,교환학생,ISEP,1.0,1.0,0.5068893432617188,1.0,0.5068893432617188,0.8520668029785156,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000014&bgbn=A
AU000015,AUSTRALIA,University of Sydney,교환학생,교환대학,56.0,44.0,37.41153106093407,0.7857142857142857,0.6680630546595369,0.750418916397861,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000015&bgbn=A
AU000016,AUSTRALIA,"University of Technology, Sydney",교환학생,교환대학,47.0,35.0,31.786488473415375,0.7446808510638298,0.6763082653918164,0.7241690753622256,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000016&bgbn=A
AU000022,AUSTRALIA,University of Western Australia,,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000022&bgbn=A
AU000017,AUSTRALIA,University of Wollongong,방문학생SAP(정규),SAF,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AU000017&bgbn=A
AT000001,AUSTRIA,FH Kufstein Tirol University of Applied Sciences,교환학생,교환대학,40.0,36.0,31.848505318164825,0.9,0.7962126329541206,0.8688637898862361,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AT000001&bgbn=A
AT000002,AUSTRIA,Johannes Kepler Universitat Linz,교환학생,ISEP,2.0,2.0,1.6172954440116882,1.0,0.8086477220058441,0.9425943166017532,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AT000002&bgbn=A
AT000003,AUSTRIA,Karl-Franzens-Universitat Graz,교환학생,ISEP,7.0,5.0,5.308657169342041,0.7142857142857143,0.7583795956202916,0.7275138786860875,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AT000003&bgbn=A
AT000004,AUSTRIA,Technische Universitat Graz,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AT000004&bgbn=A
AT000005,AUSTRIA,Universitat Salzburg,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AT000005&bgbn=A
AT000008,AUSTRIA,Universities of Applied Sciences Upper Austria,교환학생,교환대학,10.0,8.0,7.186463862657547,0.8,0.7186463862657547,0.7755939158797264,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AT000008&bgbn=A
AT000007,AUSTRIA,University of Applied Sciences Wiener Neustadt,교환학생,교환대학,13.0,10.0,9.164091885089874,0.7692307692307693,0.7049301450069134,0.7499405819636125,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AT000007&bgbn=A
AT000009,AUSTRIA,University of Vienna,교환학생,교환대학,20.0,20.0,13.028918445110321,1.0,0.651445922255516,0.8954337766766547,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AT000009&bgbn=A
AT000006,AUSTRIA,Vienna University of Economics and Business,교환학생,교환대학,44.0,35.0,34.2231670320034,0.7954545454545454,0.77779925072735,0.7901579570363868,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AT000006&bgbn=A
BD000001,BANGLADESH,Asian University for Women,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=BD000001&bgbn=A
BE000003,BELGIUM,Ghent University,,교환대학,1.0,1.0,0.8005678653717041,1.0,0.8005678653717041,0.9401703596115112,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=BE000003&bgbn=A
BE000002,BELGIUM,KU Leuven,교환학생,교환대학,4.0,4.0,2.8662156462669373,1.0,0.7165539115667343,0.9149661734700203,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=BE000002&bgbn=A
BE000001,BELGIUM,Universite Catholique De Louvain,교환학생,교환대학,34.0,25.0,21.29681235551834,0.7352941176470589,0.6263768339858335,0.7026189325486913,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=BE000001&bgbn=A
BE000004,BELGIUM,Vrije Universiteit Brussel,,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=BE000004&bgbn=A
BR000001,BRAZIL,Fundacao Armando Alvares Penteado,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=BR000001&bgbn=A
BR000002,BRAZIL,Pontificia Universidade Catolica do Rio de Janeiro,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=BR000002&bgbn=A
BN000001,BRUNEI,Universiti Brunei Darussalam,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=BN000001&bgbn=A
BG000001,BULGARIA,American University in Bulgaria,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=BG000001&bgbn=A
KH000002,CAMBODIA,Life University,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=KH000002&bgbn=A
KH000001,CAMBODIA,Royal University of Phnom Pehn,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=KH000001&bgbn=A
CA000001,CANADA,Bishop's University,교환학생,교환대학,15.0,10.0,10.296897768974304,0.6666666666666666,0.6864598512649536,0.6726046220461527,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000001&bgbn=A
CA000002,CANADA,Brock University,교환학생,교환대학ISEP,26.0,18.0,18.371460527181625,0.6923076923076923,0.7065946356608317,0.6965937753136341,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000002&bgbn=A
CA000003,CANADA,Dalhousie University,교환학생,교환대학,6.0,6.0,4.0886465311050415,1.0,0.681441088517507,0.9044323265552521,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000003&bgbn=A
CA000004,CANADA,Huron University College,교환학생,교환대학,14.0,11.0,8.858039528131485,0.7857142857142857,0.6327171091522489,0.7398151327456746,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000004&bgbn=A
CA000005,CANADA,Laurentian University,교환학생,ISEP,8.0,6.0,5.638400197029114,0.75,0.7048000246286392,0.7364400073885917,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000005&bgbn=A
CA000006,CANADA,McGill University,교환학생,교환대학,41.0,33.0,25.930374085903168,0.8048780487804879,0.6324481484366626,0.7531490786773402,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000006&bgbn=A
CA000007,CANADA,Simon Fraser University,교환학생,교환대학,77.0,53.0,54.63703706860542,0.6883116883116883,0.7095719099818886,0.6946897548127484,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000007&bgbn=A
CA000008,CANADA,Thompson Rivers University,교환학생,ISEP,1.0,1.0,0.9503520727157592,1.0,0.9503520727157592,0.9851056218147277,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000008&bgbn=A
CA000009,CANADA,Trent University,교환학생,교환대학,4.0,3.0,2.5554141998291016,0.75,0.6388535499572754,0.7166560649871825,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000009&bgbn=A
CA000010,CANADA,University College of Cape Breton,교환학생,ISEP,3.0,3.0,1.6214019060134888,1.0,0.5404673020044962,0.8621401906013488,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000010&bgbn=A
CA000011,CANADA,University of Alberta,교환학생방문학생SAP(정규),교환대학,91.0,82.0,58.574089258909225,0.9010989010989011,0.6436713105374641,0.82387062393047,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000011&bgbn=A
CA000012,CANADA,University of British Columbia,교환학생,교환대학,162.0,105.0,112.96686306595802,0.6481481481481481,0.6973263152219631,0.6629015982702926,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000012&bgbn=A
CA000022,CANADA,University of Calgary,,교환대학,6.0,3.0,4.053080260753632,0.5,0.675513376792272,0.5526540130376816,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000022&bgbn=A
CA000013,CANADA,University of Manitoba,교환학생,교환대학,46.0,34.0,29.459994852542877,0.7391304347826086,0.6404346707074539,0.7095217055600621,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000013&bgbn=A
CA000014,CANADA,University of Montreal,교환학생,교환대학,13.0,12.0,7.591848790645599,0.9230769230769231,0.5839883685112,0.8213503567072061,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000014&bgbn=A
CA000021,CANADA,University of Regina,,ISEP,1.0,1.0,0.8472148180007935,1.0,0.8472148180007935,0.954164445400238,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000021&bgbn=A
CA000023,CANADA,University of Saskatchewan,,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000023&bgbn=A
CA000015,CANADA,University of Toronto,교환학생,교환대학,102.0,88.0,68.26574611663818,0.8627450980392157,0.6692720207513547,0.8047031748528574,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000015&bgbn=A
CA000016,CANADA,University of Victoria,교환학생,교환대학,10.0,8.0,5.853855222463608,0.8,0.5853855222463608,0.7356156566739082,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000016&bgbn=A
CA000017,CANADA,University of Waterloo,교환학생,교환대학,7.0,6.0,4.9360896944999695,0.8571428571428571,0.7051556706428528,0.8115467011928558,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000017&bgbn=A
CA000018,CANADA,"University of Western Ontario, Richard Ivey School of Business",교환학생,교환대학,14.0,12.0,7.273669809103012,0.8571428571428571,0.519547843507358,0.7558643530522073,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000018&bgbn=A
CA000019,CANADA,York University,교환학생,교환대학,3.0,2.0,1.9065832495689392,0.6666666666666666,0.6355277498563131,0.6573249916235605,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000019&bgbn=A
CA000020,CANADA,York University: Schulich School of Business,교환학생,,36.0,27.0,21.279434204101562,0.75,0.5910953945583768,0.7023286183675129,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000020&bgbn=A
CL000001,CHILE,Pontificia Universidad Catolica de Valparaiso,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CL000001&bgbn=A
CL000002,CHILE,Universidad Andres Bello,교환학생,USAC,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CL000002&bgbn=A
CL000003,CHILE,Universidad Catolica del Norte-Antofagasta,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CL000003&bgbn=A
CL000004,CHILE,Universidad Catolica del Norte-Coquimbo,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CL000004&bgbn=A
CH000031,CHINA,Beijing Institute of Technology,,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CH000031&bgbn=A
CN000024,CHINA,Beijing Normal University,,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000024&bgbn=A
CN000030,CHINA,"Chinese University of Hong Kong, Shenzhen",교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000030&bgbn=A
CN000025,CHINA,Dalian University of Technology,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000025&bgbn=A
CN000003,CHINA,Fudan University,교환학생,교환대학,29.0,22.0,19.57393878698349,0.7586206896551724,0.6749634064477066,0.7335235046929326,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000003&bgbn=A
CN000026,CHINA,Harbin Institute of Technology,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000026&bgbn=A
CN000027,CHINA,Huazhong University of Science and Technology,,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000027&bgbn=A
CN000006,CHINA,Jilin University,교환학생,교환대학,7.0,6.0,5.214010298252106,0.8571428571428571,0.744858614036015,0.8234575842108045,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000006&bgbn=A
CN000007,CHINA,Nanjing University,교환학생,교환대학,10.0,4.0,6.720541387796402,0.4,0.6720541387796402,0.48161624163389205,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000007&bgbn=A
CN000008,CHINA,Nankai University,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000008&bgbn=A
CN000021,CHINA,North China Electric Power University,교환학생,교환대학,1.0,1.0,0.2889304757118225,1.0,0.2889304757118225,0.7866791427135467,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000021&bgbn=A
CN000022,CHINA,Peking University,교환학생,교환대학,18.0,10.0,11.543988049030304,0.5555555555555556,0.6413326693905724,0.5812886897060606,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000022&bgbn=A
CN000009,CHINA,Renmin University,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000009&bgbn=A
CN000010,CHINA,Shandong University,교환학생,교환대학,8.0,7.0,6.468337118625641,0.875,0.8085421398282051,0.8550626419484615,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000010&bgbn=A
CN000011,CHINA,Shanghai Jiao Tong University,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000011&bgbn=A
CN000012,CHINA,Shanghai University,교환학생,USAC,1.0,1.0,0.8321610689163208,1.0,0.8321610689163208,0.9496483206748962,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000012&bgbn=A
CN000032,CHINA,Sichuan Normal University,,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000032&bgbn=A
CN000028,CHINA,Sichuan University,,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000028&bgbn=A
CN000013,CHINA,Southwest University of Nationalities,교환학생,USAC,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000013&bgbn=A
CN000014,CHINA,Sun Yat-sen University,교환학생,교환대학,8.0,6.0,5.633133769035339,0.75,0.7041417211294174,0.7362425163388251,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000014&bgbn=A
CN000015,CHINA,Tsinghua University,교환학생,교환대학,9.0,4.0,5.523811966180801,0.4444444444444444,0.6137568851312002,0.4952381766504711,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000015&bgbn=A
CN000029,CHINA,University of Science and Technology of China,,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000029&bgbn=A
CN000017,CHINA,Wuhan University,교환학생,교환대학,23.0,17.0,17.191001415252686,0.7391304347826086,0.7474348441414211,0.7416217575902523,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000017&bgbn=A
CN000018,CHINA,Yanbian University,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000018&bgbn=A
CN000019,CHINA,Yanbian University of Science and Technology,교환학생,교환대학,1.0,0.0,0.5126386880874634,0.0,0.5126386880874634,0.153791606426239,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000019&bgbn=A
CN000020,CHINA,Zhejiang Normal University,교환학생,교환대학,37.0,31.0,25.689673364162445,0.8378378378378378,0.6943154963287147,0.7947811353851009,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000020&bgbn=A
CN000023,CHINA,Zhejiang University,교환학생,교환대학,11.0,8.0,7.542782962322235,0.7272727272727273,0.6857075420292941,0.7148031716996972,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CN000023&bgbn=A
CR000001,COSTA RICA,Universidad Nacional Autonoma de Heredia,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CR000001&bgbn=A
CR000002,COSTA RICA,Universidad Nacional de Costa Rica,교환학생,USAC,1.0,0.0,0.5123575925827026,0.0,0.5123575925827026,0.15370727777481077,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CR000002&bgbn=A
CR000003,COSTA RICA,Universidad Nacional de Costa Rica Puntarenas,교환학생,USAC,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CR000003&bgbn=A
CR000004,COSTA RICA,Universidad Nacional de Costa Rica Sede de Occidente,교환학생,USAC,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CR000004&bgbn=A
CR000005,COSTA RICA,University for Peace,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CR000005&bgbn=A
CZ000001,CZECH REPUBLIC,Charles University,교환학생,USAC,38.0,22.0,25.220507562160492,0.5789473684210527,0.6636975674252761,0.6043724281223196,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CZ000001&bgbn=A
CZ000002,CZECH REPUBLIC,Masaryk University,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CZ000002&bgbn=A
DK000001,DENMARK,Aalborg University,교환학생,교환대학ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=DK000001&bgbn=A
DK000005,DENMARK,Aarhus University,교환학생,교환대학,1.0,1.0,0.5212031602859497,1.0,0.5212031602859497,0.8563609480857849,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=DK000005&bgbn=A
DK000002,DENMARK,Copenhagen Business School,교환학생,USAC,8.0,6.0,5.81238979101181,0.75,0.7265487238764763,0.7429646171629428,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=DK000002&bgbn=A
DK000003,DENMARK,University of Copenhagen,교환학생,교환대학,72.0,65.0,49.14911192655563,0.9027777777777778,0.6826265545354949,0.8367324108050929,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=DK000003&bgbn=A
DK000004,DENMARK,University of Greenland,,교환대학ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=DK000004&bgbn=A
EE000001,ESTONIA,University of Tartu,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=EE000001&bgbn=A
FI000014,FINLAND,Aalto University,교환학생,교환대학,73.0,65.0,49.25960153341293,0.8904109589041096,0.674789062101547,0.8257243898633407,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FI000014&bgbn=A
FI000001,FINLAND,Abo Akademi University,교환학생,ISEP,2.0,1.0,1.677677929401398,0.5,0.838838964700699,0.6016516894102096,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FI000001&bgbn=A
FI000004,FINLAND,Lappeenranta University of Technology,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FI000004&bgbn=A
FI000005,FINLAND,The University of Turku,교환학생,ISEP,1.0,1.0,0.9481639862060548,1.0,0.9481639862060548,0.9844491958618165,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FI000005&bgbn=A
FI000006,FINLAND,Turku School of Economics and Business Administration,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FI000006&bgbn=A
FI000013,FINLAND,University of Eastern Finland,교환학생,교환대학,38.0,31.0,28.936879217624664,0.8157894736842105,0.7614968215164385,0.7995016780338788,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FI000013&bgbn=A
FI000007,FINLAND,University of Helsinki,교환학생,교환대학ISEP,30.0,28.0,20.996371388435364,0.9333333333333333,0.6998790462811788,0.863297047217687,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FI000007&bgbn=A
FI000009,FINLAND,"University of Jyvaskyla, School of Business & Economics",교환학생,교환대학ISEP,28.0,22.0,20.157699435949326,0.7857142857142857,0.7199178369981902,0.765975351099457,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FI000009&bgbn=A
FI000011,FINLAND,University of Oulu,교환학생,ISEP,4.0,3.0,2.6531208157539368,0.75,0.6632802039384842,0.7239840611815451,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FI000011&bgbn=A
FI000012,FINLAND,University of Tampere,교환학생,ISEP,1.0,1.0,0.5122702717781067,1.0,0.5122702717781067,0.8536810815334319,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FI000012&bgbn=A
FR000040,FRANCE,Bordeaux Montaigne University,,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FR000040&bgbn=A
FR000034,FRANCE,Ecole Normale Superieure de Lyon,,교환대학ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FR000034&bgbn=A
FR000004,FRANCE,Ecole Superieure des Sciences Economiques et Commerciales (ESSEC Business School),교환학생,교환대학,7.0,3.0,4.87463641166687,0.42857142857142855,0.6963766302381244,0.5089129890714372,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FR000004&bgbn=A
FR000005,FRANCE,Ecole Superieure du Commerce Exterieur (ESCE),교환학생,교환대학,52.0,38.0,35.64199975132942,0.7307692307692307,0.6854230721409504,0.7171653831807466,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FR000005&bgbn=A
FR000001,FRANCE,ESC (Business School) Amiens,교환학생,교환대학ISEP,17.0,11.0,13.567399024963379,0.6470588235294118,0.7980822955860811,0.6923658651464126,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FR000001&bgbn=A
FR000003,FRANCE,ESCEM (France Business School) Tours-Poitiers,교환학생,교환대학,17.0,13.0,13.512000054121017,0.7647058823529411,0.794823532595354,0.7737411774256648,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FR000003&bgbn=A
FR000007,FRANCE,Hautes Etudes Commercials (HEC Paris),교환학생,교환대학,6.0,6.0,3.7635921835899353,1.0,0.6272653639316559,0.8881796091794967,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FR000007&bgbn=A
FR000008,FRANCE,Institut d'Etudes Politiques de Rennes,교환학생,ISEP,1.0,1.0,0.8154475688934326,1.0,0.8154475688934326,0.9446342706680297,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FR000008&bgbn=A
FR000009,FRANCE,Institut National des Sciences Appliquees de Lyon (INSA-Lyon),교환학생,교환대학ISEP,11.0,9.0,7.224686503410339,0.8181818181818182,0.6567896821282126,0.7697641773657365,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FR000009&bgbn=A
FR000010,FRANCE,ISC PARIS - School of Management,교환학생,교환대학,69.0,50.0,44.98699629306793,0.7246376811594203,0.6519854535227236,0.7028420128684112,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FR000010&bgbn=A
FR000002,FRANCE,KEDGE Business School,교환학생,교환대학,41.0,28.0,28.844930738210678,0.6829268292682927,0.703534896053919,0.6891092493039805,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FR000002&bgbn=A
FR000035,FRANCE,Paris Institute of Technology,,교환대학ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FR000035&bgbn=A
