,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,11,아일랜드에서의 한 학기,식품영양학과,학부,2013,/partner/expReport.asp?id=7069&page=1&bgbn=R,1,0.5606155395507812
1,10,"소중한 친구들, 소중한 추억 나의 AIT 생활",전기전자공학과,학부,2013,/partner/expReport.asp?id=6925&page=1&bgbn=R,1,0.7107282876968384
2,9,지구 반대편 완전히 새로운 곳에서의 한학기,영어영문학과,학부,2013,/partner/expReport.asp?id=6453&page=1&bgbn=R,1,0.947404682636261
3,8,그리운 아일랜드,금속시스템공학과,학부,2011,/partner/expReport.asp?id=5967&page=1&bgbn=R,1,0.6291472911834717
4,7,가장 소중한 기억 애슬론.,국어국문학과,학부,2011-2012,/partner/expReport.asp?id=5801&page=1&bgbn=R,1,0.8923260569572449
5,6,Heart of Ireland- Athlone에서의 나날들.,교육학과,학부,2008-2009,/partner/expReport.asp?id=3937&page=1&bgbn=R,1,0.7356343269348145
6,5,그리운 아일랜드를 다녀오고 나서...,생명공학과,학부,2008,/partner/expReport.asp?id=3407&page=1&bgbn=R,1,0.7403631806373596
7,4,Athlone Institute of Technology에서의 1년,경영학과,학부,2006-2007,/partner/expReport.asp?id=2858&page=1&bgbn=R,0,0.6604756116867065
8,3,녹색나라. 주황색마음. 하얀색꿈,경영대학 경영학과,학부,2006-2007,/partner/expReport.asp?id=2831&page=1&bgbn=R,1,0.7270751595497131
9,2,미지의 세계 아일랜드 =),경영학과,학부,2005-2006,/partner/expReport.asp?id=2093&page=1&bgbn=R,1,0.5295199751853943
10,1,교환학생 경험기,경영학과,학부,2005-2006,/partner/expReport.asp?id=2057&page=2&bgbn=R,0,0.42434215545654297
