,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,24,Hola Barcelona y Esade :) 행복했던 한 학기를 돌아보며,경영학과,학부,2016,/partner/expReport.asp?id=14421&page=1&bgbn=R,1,0.9136413931846619
1,23,Barcelona에서의 잊지 못할 한학기,경영학과,학부,2016,/partner/expReport.asp?id=14245&page=1&bgbn=R,1,0.8897989988327026
2,22,대학생활의 꽃인 교환을 제대로 만끽하려면 스페인 바르셀로나로!,경영학과,학부,2016,/partner/expReport.asp?id=13565&page=1&bgbn=R,1,0.5492798686027527
3,21,내 인생 다시없을 휴식,경영학과,대학원,2016,/partner/expReport.asp?id=13344&page=1&bgbn=R,1,0.8841631412506104
4,20,ESADE에서 한 학기,UIC,학부,2015,/partner/expReport.asp?id=12625&page=1&bgbn=R,1,0.469870924949646
5,19,바르셀로나에서의 한학기,경영학과,학부,2015,/partner/expReport.asp?id=12587&page=1&bgbn=R,1,0.7191780805587769
6,18,바르셀로나에서의 교환학생 생활,경영,학부,2011,/partner/expReport.asp?id=12373&page=1&bgbn=R,0,0.6995468735694885
7,17,Hola! 사랑스러운 바르셀로나에서의 한학기.,경영학과,학부,2014,/partner/expReport.asp?id=12194&page=1&bgbn=R,1,0.7797431945800781
8,16,ESADE와 바르셀로나!,경영학과,학부,2014,/partner/expReport.asp?id=7259&page=1&bgbn=R,1,0.47685447335243225
9,15,에사데에서의 한학기!,경영학과,학부,2013,/partner/expReport.asp?id=6945&page=1&bgbn=R,1,0.7415863871574402
10,14,바르셀로나에서 한학기,경영학과,학부,2013,/partner/expReport.asp?id=6923&page=2&bgbn=R,1,0.39359769225120544
11,13,바르셀로나에서의 한 학기 :),경영학과,학부,2012,/partner/expReport.asp?id=6770&page=2&bgbn=R,1,0.727716326713562
12,12,ESADE 경험보고서,경영학과,학부,2011-2012,/partner/expReport.asp?id=6741&page=2&bgbn=R,1,0.6901764869689941
13,11,바르셀로나에서의 한 학기,EIC,학부,2013,/partner/expReport.asp?id=6658&page=2&bgbn=R,1,0.7191780805587769
14,10,바르셀로나에서 보낸 꿈같은 한 학기,경영학과,학부,2013,/partner/expReport.asp?id=6423&page=2&bgbn=R,1,0.7687805891036987
15,9,ESADE,경영대학 경영학부,학부,2012,/partner/expReport.asp?id=6148&page=2&bgbn=R,1,0.50729900598526
16,8,최고의 선택 ESADE!,경영학과,학부,2012,/partner/expReport.asp?id=5923&page=2&bgbn=R,1,0.9490357637405396
17,7,에사데,경영학과,학부,2011-2012,/partner/expReport.asp?id=5809&page=2&bgbn=R,1,0.50729900598526
18,6,바르셀로나에서의 한 학기,경제학과,학부,2011,/partner/expReport.asp?id=5374&page=2&bgbn=R,1,0.7191780805587769
19,5,"Hola, Barcelona!",경영,학부,2010-2011,/partner/expReport.asp?id=5030&page=2&bgbn=R,1,0.5123575925827026
20,4,ESADE에서 보낸 가을학기,경영학과,학부,2005,/partner/expReport.asp?id=1973&page=3&bgbn=R,1,0.7381607890129089
21,3,"제 2의 고향, 바르셀로나!",상경계열,학부,2004,/partner/expReport.asp?id=1500&page=3&bgbn=R,1,0.3293968439102173
22,2,24시간 즐거운 도시! 바르셀로나에서의 삶,경영학전공,학부,2004,/partner/expReport.asp?id=1475&page=3&bgbn=R,1,0.8548383116722107
23,1,ESADE,경영학전공,학부,2003,/partner/expReport.asp?id=1089&page=3&bgbn=R,1,0.50729900598526
