,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,28,"Hier ist Berlin, kein Deutschland",독어독문학과,학부,2019-2020,/partner/expReport.asp?id=16485&page=1&bgbn=R,1,0.5139521360397339
1,27,베를린에서의 한학기,경영대학,학부,2018,/partner/expReport.asp?id=16484&page=1&bgbn=R,1,0.7846090793609619
2,26,마이웨이의 도시 베를린,영어영문학과,학부,2019,/partner/expReport.asp?id=16461&page=1&bgbn=R,1,0.6398524045944214
3,25,S반을 타고 흘러간 40분과 사라진 납작복숭아,철학과,학부,2019,/partner/expReport.asp?id=16401&page=1&bgbn=R,0,0.23886454105377197
4,24,"베를린, 후회는 없다",독어독문학과,학부,2019,/partner/expReport.asp?id=16349&page=1&bgbn=R,1,0.8484445810317993
5,23,훔볼트 대학에서의 한 학기,독어독문학과,학부,2019,/partner/expReport.asp?id=16014&page=1&bgbn=R,1,0.7197685837745667
6,22,Jemand einmal in Berlin,독어독문학과,학부,2018-2019,/partner/expReport.asp?id=15962&page=1&bgbn=R,1,0.5123575925827026
7,21,새롭고 즐거웠던 베를린에서의 한 학기,사회복지학과,학부,2018,/partner/expReport.asp?id=15875&page=1&bgbn=R,1,0.9112251996994019
8,20,훔볼트대학 베를린에서 보낸 행복한 한 학기,국제학,학부,2018,/partner/expReport.asp?id=15733&page=1&bgbn=R,1,0.8890358209609985
9,19,베를린에서 보낸 인생 황금기,독어독문학과,학부,2018,/partner/expReport.asp?id=15607&page=1&bgbn=R,1,0.8626912832260132
10,18,베를린의 중심 훔볼트에서의 5개월,노어노문학과,학부,2018,/partner/expReport.asp?id=15126&page=2&bgbn=R,1,0.7794234752655029
11,17,훔볼트 대학교에서의 한학기,언론홍보영상학과,학부,2018,/partner/expReport.asp?id=15125&page=2&bgbn=R,1,0.7504055500030518
12,16,베를린 훔볼트에서의 5개월,Quantitative Risk Management,학부,2018,/partner/expReport.asp?id=15099&page=2&bgbn=R,1,0.7837130427360535
13,15,베를린에서의 잊을 수 없는 한 학기,독어독문학과,학부,2017,/partner/expReport.asp?id=14350&page=2&bgbn=R,1,0.8784888982772827
14,14,"너무나도 매력적인 도시, 베를린에서의 즐거웠던 한 학기",영어영문학과,학부,2016-2017,/partner/expReport.asp?id=13778&page=2&bgbn=R,1,0.9869452714920044
15,13,베를린에서의 한학기,응용통계,학부,2016,/partner/expReport.asp?id=13499&page=2&bgbn=R,1,0.7846090793609619
16,12,즐거웠던 베를린 생활,독어독문학과,학부,2016,/partner/expReport.asp?id=13479&page=2&bgbn=R,1,0.9101998805999756
17,11,훔볼트에 대해,철학과,학부,2015-2016,/partner/expReport.asp?id=12813&page=2&bgbn=R,1,0.6138349771499634
18,10,훔볼트를 지원해야 하는 이유,문화인류학과,학부,2015,/partner/expReport.asp?id=12781&page=2&bgbn=R,1,0.19264113903045654
19,9,베를린 훔볼트 대학교,경영학과,학부,2015-2016,/partner/expReport.asp?id=12732&page=2&bgbn=R,1,0.7873471975326538
20,8,Humboldt-Universitat zu Berlin에서의 한 학기,독어독문학과,학부,2015,/partner/expReport.asp?id=12383&page=3&bgbn=R,1,0.6701934933662415
21,7,베를린 훔볼트 대학에서의 1년,심리학과,학부,2013-2014,/partner/expReport.asp?id=7385&page=3&bgbn=R,1,0.8272553086280823
22,6,훔볼트에서의 한학기,독어독문학과,학부,2013-2014,/partner/expReport.asp?id=6984&page=3&bgbn=R,1,0.731432318687439
23,5,경험보고서,철학과,학부,2013,/partner/expReport.asp?id=6675&page=3&bgbn=R,1,0.7555708289146423
24,4,베를린에서의 학생생활,경영학과,학부,2013,/partner/expReport.asp?id=6629&page=3&bgbn=R,1,0.8289063572883606
25,3,"베를린 정보부터 자유대와 비교까지, 훔볼트 A-Z 살펴보기",독어독문학과,학부,2012-2013,/partner/expReport.asp?id=6363&page=3&bgbn=R,1,0.5155548453330994
26,2,베를린에서의 한 학기 생활,신학과,학부,2012-2013,/partner/expReport.asp?id=6266&page=3&bgbn=R,1,0.7684429883956909
27,1,Alles ist moglich in Berlin!,독어독문학과,학부,2012,/partner/expReport.asp?id=6144&page=3&bgbn=R,1,0.5139521360397339
